2023/11/28 09:41:45 PM > episode 59 done. reward=72.0 | episode_steps=72 | hours=0.007 | epsilon=0.949
2023/11/28 09:41:45 PM > episode 60 done. reward=14.0 | episode_steps=14 | hours=0.007 | epsilon=0.948
2023/11/28 09:41:45 PM > episode 61 done. reward=13.0 | episode_steps=13 | hours=0.007 | epsilon=0.947
2023/11/28 09:41:46 PM > episode 62 done. reward=20.0 | episode_steps=20 | hours=0.007 | epsilon=0.947
2023/11/28 09:41:46 PM > episode 63 done. reward=26.0 | episode_steps=26 | hours=0.007 | epsilon=0.945
2023/11/28 09:41:47 PM > episode 64 done. reward=26.0 | episode_steps=26 | hours=0.007 | epsilon=0.944
2023/11/28 09:41:47 PM > episode 65 done. reward=19.0 | episode_steps=19 | hours=0.007 | epsilon=0.944
2023/11/28 09:41:48 PM > episode 66 done. reward=23.0 | episode_steps=23 | hours=0.008 | epsilon=0.943
2023/11/28 09:41:48 PM > episode 67 done. reward=14.0 | episode_steps=14 | hours=0.008 | epsilon=0.942
2023/11/28 09:41:48 PM > episode 68 done. reward=22.0 | episode_steps=22 | hours=0.008 | epsilon=0.941
2023/11/28 09:41:49 PM > episode 69 done. reward=19.0 | episode_steps=19 | hours=0.008 | epsilon=0.940
2023/11/28 09:41:49 PM > episode 70 done. reward=14.0 | episode_steps=14 | hours=0.008 | epsilon=0.940
2023/11/28 09:41:49 PM > episode 71 done. reward=9.0 | episode_steps=9 | hours=0.008 | epsilon=0.939
2023/11/28 09:41:49 PM > episode 72 done. reward=17.0 | episode_steps=17 | hours=0.008 | epsilon=0.939
2023/11/28 09:41:50 PM > episode 73 done. reward=22.0 | episode_steps=22 | hours=0.008 | epsilon=0.938
2023/11/28 09:41:50 PM > episode 74 done. reward=12.0 | episode_steps=12 | hours=0.008 | epsilon=0.937
2023/11/28 09:41:51 PM > episode 75 done. reward=26.0 | episode_steps=26 | hours=0.008 | epsilon=0.936
2023/11/28 09:41:51 PM > episode 76 done. reward=9.0 | episode_steps=9 | hours=0.009 | epsilon=0.936
2023/11/28 09:41:51 PM > episode 77 done. reward=14.0 | episode_steps=14 | hours=0.009 | epsilon=0.935
2023/11/28 09:41:51 PM > episode 78 done. reward=9.0 | episode_steps=9 | hours=0.009 | epsilon=0.935
2023/11/28 09:41:52 PM > episode 79 done. reward=14.0 | episode_steps=14 | hours=0.009 | epsilon=0.934
2023/11/28 09:41:52 PM > episode 80 done. reward=13.0 | episode_steps=13 | hours=0.009 | epsilon=0.934
2023/11/28 09:41:52 PM > episode 81 done. reward=15.0 | episode_steps=15 | hours=0.009 | epsilon=0.933
2023/11/28 09:41:53 PM > episode 82 done. reward=24.0 | episode_steps=24 | hours=0.009 | epsilon=0.932
2023/11/28 09:41:53 PM > episode 83 done. reward=20.0 | episode_steps=20 | hours=0.009 | epsilon=0.931
